object_type,object_id,study_or_source,doi,source_url,access_status,redistributed_raw_data,notes
deep_analysis_source,DEEP06,Çiçek et al. (2025),10.1093/postmj/qgae170,https://doi.org/10.1093/postmj/qgae170,public participant-level,no,raw third-party participant data not redistributed
deep_analysis_source,DEEP07,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,https://doi.org/10.1016/j.techsoc.2025.103087,author-approved restricted participant-level,no,no restricted raw data redistributed; access-controlled provenance documented
study_inventory,U18,Kazemitabaar et al. (2025),10.1145/3708359.3712104,https://doi.org/10.1145/3708359.3712104,full-text verified,no,AI-supported learning conditions followed by scored manual isomorphic coding tasks without AI assistance.
study_inventory,U19,Elshall et al. (2026),10.3389/feduc.2026.1834090,https://doi.org/10.3389/feduc.2026.1834090,full-text verified,no,Comparative cohorts include AI-supported authentic performance and explicitly AI-free foundational/conceptual assessment.
study_inventory,U20,Ates (2026),10.1186/s41239-026-00614-9,https://doi.org/10.1186/s41239-026-00614-9,full-text verified,no,Four feedback conditions with immediate revision outcomes and delayed AI-free transfer; analytic N=1176.
study_inventory,U21,Baltà-Salvador et al. (2026),10.1016/j.tsc.2025.101958,https://doi.org/10.1016/j.tsc.2025.101958,full-text verified,no,Randomized task order creates directly observed AI-assisted and unaided creative-ideation regimes; interpretation is task/order-specific rather than an AI-withdrawal causal effect.
study_inventory,U22,Li et al. (2025),10.1007/s10639-025-13741-z,https://doi.org/10.1007/s10639-025-13741-z,full-text verified,no,"Participants were randomly allocated to no-AI, traditional-AI, or GenAI explanations; later phase removed AI-powered insights for all groups."
study_inventory,U23,Park et al. (2025),10.1109/EDUCON62633.2025.11016517,https://doi.org/10.1109/EDUCON62633.2025.11016517,full-text verified,no,"Explicit AI-assisted and independent tasks; independent assessments blocked internet, IDE, and Copilot. Design-description ambiguity is retained as a caveat."
study_inventory,U24,Chakraborty (2026),10.1002/cae.70223,https://doi.org/10.1002/cae.70223,full-text verified,no,"In Experiment 2, randomized groups differ strongly while AI is available; the between-group difference disappears on the subsequent part after AI withdrawal."
study_inventory,U25,Chandrasekera et al. (2025),10.1177/14780771241254637,https://doi.org/10.1177/14780771241254637,full-text verified,no,Randomized groups perform one AI-differentiated design task followed by a similar design task without AI for both groups; advantage persists on the unaided task.
study_inventory,U26,Shaikh et al. (2024),10.1145/3613904.3642159,https://doi.org/10.1145/3613904.3642159,full-text verified,no,Randomized LLM rehearsal versus standard training followed by blinded evaluation of human conflict performance without the rehearsal system.
study_inventory,U27,Guo et al. (2024),10.1016/j.iheduc.2024.100962,https://doi.org/10.1016/j.iheduc.2024.100962,full-text verified,no,AI-supported feedback intervention followed by supervised posttests in a designated laboratory; personal computers and external resources were not available.
study_inventory,U28,Bangerl et al. (2025),10.1145/3706598.3713886,https://doi.org/10.1145/3706598.3713886,full-text verified,no,AI-versus-control collaboration followed by individual unaided posttest and three-week unaided retention posttest.
study_inventory,U29,Lin et al. (2026),10.1145/3816713.3816741,https://doi.org/10.1145/3816713.3816741,full-text verified,no,Course sections used different instruction; AI-supported assessments were followed by a proctored paper-based final examination without AI.
study_inventory,U30,Kumaradasa et al. (2026),10.1109/SCSE70081.2026.11499961,https://doi.org/10.1109/SCSE70081.2026.11499961,full-text verified contextual,no,"Clear assisted-to-unassisted sequence, but no concurrent comparator for a treatment-effect estimand."
study_inventory,U31,Elshall & Badir (2025),10.3389/feduc.2025.1596462,https://doi.org/10.3389/feduc.2025.1596462,full-text verified contextual,no,"The design deliberately combines AI-assisted and AI-free assessment, but lacks a comparator for causal treatment-effect pairing."
study_inventory,U32,Rani et al. (2026),10.1145/3772318.3790656,https://doi.org/10.1145/3772318.3790656,full-text verified contextual,no,"Clear AI-assisted and subsequent unassisted phases, but the main longitudinal sequence is not a randomized no-AI exposure contrast for a treatment-effect estimate."
study_inventory,U33,Tran-Le et al. (2026),,,full-text verified contextual,no,"Clear assisted-to-unassisted sequence, but the pilot is not a randomized comparative treatment-effect design."
study_inventory,U34,Prasodjo et al. (2026),10.12928/eltej.v9i1.15214,https://doi.org/10.12928/eltej.v9i1.15214,full-text verified contextual,no,"Explicit delayed AI-free assessment, but no independent control group."
study_inventory,U35,Li & Chen (2026),10.1007/978-3-032-30860-3_29,https://doi.org/10.1007/978-3-032-30860-3_29,full-text verified contextual,no,Randomized AI manipulation followed by unaided factual recall; the later endpoint is an internal-memory outcome rather than repetition/transfer of the task-performance construct.
scopus_coverage_fulltext,SCOPUS07,Exploring the Design Space of Cognitive Engagement Techniques with AI-Generated Code for Enhanced Learning,10.1145/3708359.3712104,https://doi.org/10.1145/3708359.3712104,full text supplied for screening; not redistributed,no,comparative_paired_regime: AI-supported learning conditions followed by scored manual isomorphic coding tasks without AI assistance.
scopus_coverage_fulltext,SCOPUS08,AI-affordance alignment drives authentic learning gains without foundational erosion: a quasi-experimental pilot study from an environmental data science course,10.3389/feduc.2026.1834090,https://doi.org/10.3389/feduc.2026.1834090,full text supplied for screening; not redistributed,no,comparative_paired_regime: Comparative cohorts include AI-supported authentic performance and explicitly AI-free foundational/conceptual assessment.
scopus_coverage_fulltext,SCOPUS11,"Human-centered GenAI feedback design in higher education: a multisite experiment on direct, reflective, and hybrid approaches to scientific argumentation",10.1186/s41239-026-00614-9,https://doi.org/10.1186/s41239-026-00614-9,full text supplied for screening; not redistributed,no,comparative_paired_regime: Four feedback conditions with immediate revision outcomes and delayed AI-free transfer; analytic N=1176.
scopus_coverage_fulltext,SCOPUS13,Evaluating AI-assisted creative ideation: A crossover study in higher education,10.1016/j.tsc.2025.101958,https://doi.org/10.1016/j.tsc.2025.101958,full text supplied for screening; not redistributed,no,comparative_paired_regime: Randomized task order creates directly observed AI-assisted and unaided creative-ideation regimes; interpretation is task/order-specific rather than an AI-withdrawal causal effect.
scopus_coverage_fulltext,SCOPUS15,When AI explains in natural language: Unveiling the impact of generative AI explanations on educators’ grading and feedback practices,10.1007/s10639-025-13741-z,https://doi.org/10.1007/s10639-025-13741-z,full text supplied for screening; not redistributed,no,"comparative_paired_regime: Participants were randomly allocated to no-AI, traditional-AI, or GenAI explanations; later phase removed AI-powered insights for all groups."
scopus_coverage_fulltext,SCOPUS17,Evaluating the Impact of Assistive AI Tools on Learning Outcomes and Ethical Considerations in Programming Education,10.1109/EDUCON62633.2025.11016517,https://doi.org/10.1109/EDUCON62633.2025.11016517,full text supplied for screening; not redistributed,no,"comparative_paired_regime: Explicit AI-assisted and independent tasks; independent assessments blocked internet, IDE, and Copilot. Design-description ambiguity is retained as a caveat."
scopus_coverage_fulltext,SCOPUS18,Effect of Using Generative Artificial Intelligence in Different Roles in a Course on Computer Programming,10.1002/cae.70223,https://doi.org/10.1002/cae.70223,full text supplied for screening; not redistributed,no,"comparative_paired_regime: In Experiment 2, randomized groups differ strongly while AI is available; the between-group difference disappears on the subsequent part after AI withdrawal."
scopus_coverage_fulltext,SCOPUS26,Can artificial intelligence support creativity in early design processes?,10.1177/14780771241254637,https://doi.org/10.1177/14780771241254637,full text supplied for screening; not redistributed,no,comparative_paired_regime: Randomized groups perform one AI-differentiated design task followed by a similar design task without AI for both groups; advantage persists on the unaided task.
scopus_coverage_fulltext,SCOPUS32,Rehearsal: Simulating Conflict to Teach Conflict Resolution,10.1145/3613904.3642159,https://doi.org/10.1145/3613904.3642159,full text supplied for screening; not redistributed,no,comparative_paired_regime: Randomized LLM rehearsal versus standard training followed by blinded evaluation of human conflict performance without the rehearsal system.
scopus_coverage_fulltext,SCOPUS37,Effects of an AI-supported approach to peer feedback on university EFL students’ feedback quality and writing ability,10.1016/j.iheduc.2024.100962,https://doi.org/10.1016/j.iheduc.2024.100962,full text supplied for screening; not redistributed,no,comparative_paired_regime: AI-supported feedback intervention followed by supervised posttests in a designated laboratory; personal computers and external resources were not available.
scopus_coverage_fulltext,SCOPUS38,CreAItive Collaboration? Users’ Misjudgment of AI-Creativity Affects Their Collaborative Performance,10.1145/3706598.3713886,https://doi.org/10.1145/3706598.3713886,full text supplied for screening; not redistributed,no,comparative_paired_regime: AI-versus-control collaboration followed by individual unaided posttest and three-week unaided retention posttest.
scopus_coverage_fulltext,SCOPUS42,Beyond the Veneer of Competence: How Structured Prompting Fosters Knowledge Transfer in LLM-Augmented Education,10.1145/3816713.3816741,https://doi.org/10.1145/3816713.3816741,full text supplied for screening; not redistributed,no,comparative_paired_regime: Course sections used different instruction; AI-supported assessments were followed by a proctored paper-based final examination without AI.
scopus_coverage_fulltext,SCOPUS06,Assessing the Effectiveness of Generative AI in Undergraduate Academic Writing,10.1109/SCSE70081.2026.11499961,https://doi.org/10.1109/SCSE70081.2026.11499961,full text supplied for screening; not redistributed,no,"contextual_regime_transition: Clear assisted-to-unassisted sequence, but no concurrent comparator for a treatment-effect estimand."
scopus_coverage_fulltext,SCOPUS12,Balancing AI-assisted learning and traditional assessment: the FACT assessment in environmental data science education,10.3389/feduc.2025.1596462,https://doi.org/10.3389/feduc.2025.1596462,full-text verification record retained in project audit; source PDF not redistributed,no,"contextual_regime_transition: The design deliberately combines AI-assisted and AI-free assessment, but lacks a comparator for causal treatment-effect pairing."
scopus_coverage_fulltext,SCOPUS24,Dialogues with AI Reduce Beliefs in Misinformation but Build No Lasting Discernment Skills,10.1145/3772318.3790656,https://doi.org/10.1145/3772318.3790656,full text supplied for screening; not redistributed,no,"contextual_regime_transition: Clear AI-assisted and subsequent unassisted phases, but the main longitudinal sequence is not a randomized no-AI exposure contrast for a treatment-effect estimate."
scopus_coverage_fulltext,SCOPUS28,How Does LLM-powered Coding Assistance Shape Incidental Learning? Exploring Cognitive Forcing Strategies in Programming Education,,,full text supplied for screening; not redistributed,no,"contextual_regime_transition: Clear assisted-to-unassisted sequence, but the pilot is not a randomized comparative treatment-effect design."
scopus_coverage_fulltext,SCOPUS35,Google Gemini-assisted writing and lexical appropriateness in EFL Paragraph Writing: Evidence of stability across tasks,10.12928/eltej.v9i1.15214,https://doi.org/10.12928/eltej.v9i1.15214,full text supplied for screening; not redistributed,no,"contextual_regime_transition: Explicit delayed AI-free assessment, but no independent control group."
scopus_coverage_fulltext,SCOPUS36,Delegating Thought to Gen-AI: How Task Complexity and AI Recommendations Shape Decision Quality and Memory Outcomes,10.1007/978-3-032-30860-3_29,https://doi.org/10.1007/978-3-032-30860-3_29,full text supplied for screening; not redistributed,no,contextual_regime_transition: Randomized AI manipulation followed by unaided factual recall; the later endpoint is an internal-memory outcome rather than repetition/transfer of the task-performance construct.
scopus_coverage_fulltext,SCOPUS14,The impact of AI chatbots (ChatGPT) on EFL learners’ writing fluency and accuracy,10.1177/20427530261449472,https://doi.org/10.1177/20427530261449472,full-text verification record retained in project audit; source PDF not redistributed,no,"unclear_ai_status: Potentially relevant posttest, but the full-text verification did not establish whether construct-relevant AI was unavailable during the scored posttest."
scopus_coverage_fulltext,SCOPUS33,AI-assisted language learning: ChatGPT’s impact on mastering English tenses at the university level,10.1016/j.ssaho.2026.102532,https://doi.org/10.1016/j.ssaho.2026.102532,full-text verification record retained in project audit; source PDF not redistributed,no,"unclear_ai_status: The posttest is central to the learning claim, but explicit AI non-use at outcome assessment was not reported clearly enough for regime classification."
scopus_coverage_fulltext,SCOPUS34,Generative AI Assisting Agent for Enhancing Science Lab Learning in a Virtual Reality Educational Game,10.1109/InCIT66780.2025.11276096,https://doi.org/10.1109/InCIT66780.2025.11276096,full-text verification record retained in project audit; source PDF not redistributed,no,unclear_ai_status: The experimental AI agent was part of the VR environment and the report did not clearly establish that it was disabled during the embedded posttest.
scopus_coverage_fulltext,SCOPUS41,AI-Powered Transcreation in Global Marketing: Insights from Iran,10.4312/elope.22.1.203-221,https://doi.org/10.4312/elope.22.1.203-221,full-text verification record retained in project audit; source PDF not redistributed,no,exclude: No post-intervention independent assessment: the posttest remained AI-assisted. Baseline without AI is not a subsequent independent-performance outcome.
